,Unnamed: 0,model,dataset,noise_type,noise_ratio,accuracy,std
0,0,pown,roman-empire,structure-based pair,0.2,0.6986445464172255,0.0102322595544644
1,1,pown,roman-empire,structure-based pair,0.4,0.4701835510060007,0.0191810425260454
2,2,pown,roman-empire,structure-based pair,0.6,0.1866749029297564,0.00563519851734
3,3,pown,roman-empire,structure-based pair,0.8,0.1771655488881044,0.0059296391569915
4,0,pown,roman-empire,uniform,0.0,0.7712389692905048,0.0083910566555225
5,1,pown,roman-empire,uniform,0.2,0.7217472643840452,0.0084248248705414
6,0,pown,roman-empire,feature-based pair,0.2,0.6831097776208965,0.017957406428561
7,1,pown,roman-empire,feature-based pair,0.4,0.3286516060713025,0.1382859061021355
8,2,pown,roman-empire,feature-based pair,0.6,0.0967666784327568,0.0001679180432622
9,3,pown,roman-empire,feature-based pair,0.8,0.0967490292975644,0.0001927057354819
10,0,pown,citeseer,feature-based pair,0.2,0.52562,0.0485812544411998
11,1,pown,citeseer,feature-based pair,0.4,0.38434,0.0545229187992686
12,2,pown,citeseer,feature-based pair,0.6,0.26426,0.0488608007901457
13,3,pown,citeseer,feature-based pair,0.8,0.1701,0.0357279501957107
14,4,pown,citeseer,structure-based pair,0.2,0.538,0.0416484680217081
15,5,pown,citeseer,structure-based pair,0.4,0.41642,0.0474504450658862
16,6,pown,citeseer,structure-based pair,0.6,0.29198,0.0441070287555382
17,7,pown,citeseer,structure-based pair,0.8,0.21012,0.0349590661966108
18,8,pown,citeseer,uniform,0.0,0.6129199999999999,0.0291911419057253
19,9,pown,citeseer,uniform,0.2,0.5344200000000001,0.0378620524226404
20,10,pown,citeseer,uniform,0.4,0.4692199999999999,0.0378779307186222
21,11,pown,citeseer,uniform,0.6,0.35436,0.0496662661449791
22,12,pown,citeseer,uniform,0.8,0.22732,0.0327673001568809
23,0,pown,amazon-ratings,feature-based pair,0.2,0.3953682835211497,0.0148073565412693
24,1,pown,amazon-ratings,feature-based pair,0.4,0.2868724481463335,0.0856234260935872
25,2,pown,amazon-ratings,feature-based pair,0.6,0.1369100114323044,0.1118077505607379
26,3,pown,amazon-ratings,feature-based pair,0.8,0.0788600359300996,0.0736871653560228
27,4,pown,amazon-ratings,structure-based pair,0.2,0.3942087212150906,0.0244692026215526
28,5,pown,amazon-ratings,structure-based pair,0.4,0.3707953617507757,0.0077104559594706
29,6,pown,amazon-ratings,structure-based pair,0.6,0.3665066144047036,0.0046042714549251
30,7,pown,amazon-ratings,structure-based pair,0.8,0.3665719418585661,0.0041275617955213
31,8,pown,amazon-ratings,uniform,0.0,0.4500277641678916,0.0430002205852794
32,9,pown,amazon-ratings,uniform,0.2,0.4084599052751919,0.0222284260759665
33,10,pown,amazon-ratings,uniform,0.4,0.3847493058958027,0.0201682409833864
34,11,pown,amazon-ratings,uniform,0.6,0.3751265719418585,0.0197084309434248
35,12,pown,amazon-ratings,uniform,0.8,0.3479666829985301,0.034522303207819
36,0,pown,pubmed,feature-based pair,0.2,0.56232,0.1257998568475553
37,1,pown,pubmed,feature-based pair,0.4,0.4704799999999999,0.0923529547852633
38,2,pown,pubmed,feature-based pair,0.6,0.4175,0.0652537219934117
39,3,pown,pubmed,feature-based pair,0.8,0.3818,0.0260973293223201
40,4,pown,pubmed,uniform,0.0,0.65648,0.1377437595592279
41,5,pown,pubmed,uniform,0.2,0.59446,0.1293817496064666
42,6,pown,pubmed,uniform,0.4,0.4751599999999999,0.0747553774231069
43,7,pown,pubmed,uniform,0.6,0.4133799999999999,0.0484050090271538
44,8,pown,pubmed,uniform,0.8,0.39976,0.0411639790991494
45,9,pown,pubmed,structure-based pair,0.2,0.5452600000000001,0.1381092228235163
46,10,pown,pubmed,structure-based pair,0.4,0.45342,0.0889473230447488
47,11,pown,pubmed,structure-based pair,0.6,0.39252,0.028699205477969
48,12,pown,pubmed,structure-based pair,0.8,0.384,0.0218174414590137
49,0,pown,roman-empire,uniform,0.4,0.6460713025061773,0.0090234350375191
50,1,pown,roman-empire,uniform,0.6,0.4852170843628662,0.0616651085096454
51,2,pown,roman-empire,uniform,0.8,0.2276844334627603,0.0795887943835824
52,0,pown,cora,structure-based pair,0.2,0.69646,0.0525154317996461
53,1,pown,cora,structure-based pair,0.4,0.5021800000000001,0.062307026142826
54,2,pown,cora,structure-based pair,0.6,0.35092,0.0443226470533745
55,3,pown,cora,structure-based pair,0.8,0.30026,0.0365701941403463
56,4,pown,cora,uniform,0.0,0.7766399999999999,0.0176577214947184
57,5,pown,cora,uniform,0.2,0.68148,0.0604968260772156
58,6,pown,cora,uniform,0.4,0.59154,0.0889541383862689
59,7,pown,cora,uniform,0.6,0.4969,0.080498895501793
60,8,pown,cora,uniform,0.8,0.2833799999999999,0.0492954611498067
61,9,pown,cora,feature-based pair,0.2,0.6586,0.043717348154712
62,10,pown,cora,feature-based pair,0.4,0.4797399999999999,0.0954947056492481
63,11,pown,cora,feature-based pair,0.6,0.32344,0.0584657437447367
64,12,pown,cora,feature-based pair,0.8,0.10288,0.0509635584848154
